Line,Component,MTBF,λ,cp,cc,PM_duration,x*,CR
1,1,14.56,2.305,14.03,9.63,2.736343276569447,14.9,0.7107
1,2,32.16,1.6444,15.01,14.11,1.3288427262211626,25.84,0.5325
1,3,46.62,2.213,10.79,20.43,0.8043979652270813,41.77,0.2466
1,4,22.12,1.6838,12.32,12.2,1.2586826550209835,22.65,0.4805
1,5,25.64,1.9202,10.09,11.26,1.561696412238028,21.31,0.4164
1,6,43.58,2.42,15.56,16.73,0.8838569527911396,51.28,0.2946
1,7,45.42,1.5866,16.15,11.49,1.4646985508736379,39.81,0.3735
1,8,48.27,1.954,15.76,23.75,0.9056215348999997,43.87,0.346
1,9,10.58,1.752,18.72,17.89,1.9745504413010069,10.01,1.2796
1,10,49.2,2.0233,11.94,13.5,0.4063145155500967,45.43,0.2583
1,11,52.69,2.2641,10.55,10.65,0.5784036918770913,46.36,0.2208
1,12,24.79,2.0017,11.7,10.1,1.9407153248558573,25.19,0.405
1,13,49.83,1.6717,20.39,20.29,2.061756216522356,48.08,0.3908
1,14,11.75,2.1658,19.59,20.94,1.237623466761037,12.16,1.3148
1,15,8.78,1.9498,21.91,23.17,1.8677008364934606,7.96,1.8568
1,16,26.99,2.3986,20.29,23.0,2.339710206798608,30.93,0.5725
1,17,21.95,1.6783,16.27,13.51,0.7856452321548251,18.75,0.8078
1,18,20.59,2.0723,15.2,24.35,1.3409245967880978,22.7,0.6068
1,19,22.59,2.2444,11.95,12.6,0.47626909427346,20.3,0.5618
1,20,7.54,1.6317,19.51,18.4,1.7633660452230666,7.62,1.6326
1,21,40.7,1.7332,14.64,16.77,2.530895549592877,38.63,0.3405
1,22,23.7,2.0435,21.85,21.59,0.35961289424987286,26.57,0.8042
1,23,35.47,2.2409,15.33,19.69,1.7360600046789703,36.48,0.3845
1,24,45.74,1.879,16.89,26.33,0.9773922720115013,46.56,0.3501
1,25,41.04,2.4033,13.48,22.07,0.3694102404938309,46.9,0.2831
1,26,27.25,1.5893,13.46,13.87,1.2797944044932654,22.62,0.5395
1,27,50.34,1.9277,11.34,6.97,1.6509565554324834,59.63,0.1808
1,28,49.21,1.9596,24.0,20.13,0.6330974092203243,50.45,0.4637
2,29,56.85,1.5038,24.08,19.87,0.5560743959834584,58.45,0.4025
2,30,52.26,1.9771,20.19,22.14,2.823556288037865,50.33,0.3651
